seed,agent,episode,loss,reconstructionLoss,klLoss,continueLoss,rewardLoss
1001,0,1,2.5275290473302205,1.1250876971085866,1.100000023841858,0.2938864174981912,0.008554922673016942
1001,0,2,2.292834056218465,1.0669383043050766,1.100000023841858,0.11579710612694423,0.010098614249081948
1001,0,3,1.7664193773269654,0.5405768746137619,1.100000023841858,0.11114282486339411,0.014699663011516624
1001,0,4,2.1705904165903727,0.9747667284806569,1.100000023841858,0.08816271267831326,0.0076609383881524684
1001,0,5,1.7363799619674682,0.5285732284684976,1.100000023841858,0.10025238019724687,0.007554345600186328
1001,0,6,1.8956995185216268,0.6993939658502738,1.100000023841858,0.08929554296036561,0.007009988863331576
1001,0,7,1.9594083388646444,0.761372444331646,1.100000023841858,0.08452488803615173,0.01351099343795795
1001,0,8,1.8932602564493815,0.6888249240318934,1.100000023841858,0.09584811252852281,0.008587206498449783
1001,0,9,1.717281452814738,0.528988107641538,1.100000023841858,0.08260543490449587,0.005687906762946871
1001,0,10,2.104154601097107,0.8977718828121821,1.100000023841858,0.08152257243792216,0.02486012501673277
1001,0,11,1.6881895605723063,0.4780621871352196,1.100000023841858,0.09432173121720552,0.015805615514094217
1001,0,12,1.7646279080708822,0.5815033453951279,1.100000023841858,0.07693701023856798,0.006187529510377014
1001,0,13,1.400407797495524,0.20045458793640136,1.100000023841858,0.08838890687872966,0.011564279243045093
1001,0,14,1.546791157722473,0.35924416163315376,1.100000023841858,0.07629418228442471,0.011252790548354218
1001,0,15,1.7813592354456584,0.5851094604035219,1.100000023841858,0.08361808026830356,0.012631678235161795
1001,0,16,1.7968348010381063,0.6040849996109804,1.100000023841858,0.08046137681851784,0.012288386170876037
1001,0,17,1.6084431552886962,0.40243916740020114,1.100000023841858,0.09628070037811995,0.009723265174579864
1001,0,18,1.461231164932251,0.27530972167849543,1.100000023841858,0.08270010519772768,0.003221318786381744
1001,0,19,1.6941681655248007,0.5045350659886996,1.100000023841858,0.08251831986010075,0.007114762106496831
1001,0,20,1.6510124254226684,0.45439483831326166,1.100000023841858,0.08290769217535854,0.013709866744223594
1001,1,1,2.9400045744578045,1.5170775830745697,1.100000023841858,0.31460911363363264,0.008317862911959916
1001,1,2,2.006248205502828,0.7838994137446086,1.100000023841858,0.11569849327206612,0.006650271567202814
1001,1,3,1.5587774229049682,0.3470620936155319,1.100000023841858,0.09815507729848226,0.013560231149428243
1001,1,4,2.2012074120839435,1.009247804482778,1.100000023841858,0.08889654080073038,0.0030630362960016554
1001,1,5,1.8914064343770345,0.6871183315912882,1.100000023841858,0.0979853668063879,0.006302708791091251
1001,1,6,1.8462067413330079,0.6539362784226735,1.100000023841858,0.08714917690803607,0.005121275964908515
1001,1,7,1.7769642718633016,0.5806261193752289,1.100000023841858,0.0806930198147893,0.015645108449490987
