seed,diffMeanR4,diffMeanR6,partnerVisibleR4,partnerVisibleR6,highPower
1001,-0.013825112267544395,-0.013825112267544395,38,38,true
1002,-0.11392537543648168,-0.04352553267227976,27,35,true
1003,0.4270893335342407,-0.5102549069806149,11,33,false
1004,-0.07414678523415014,-0.08134031923193681,33,38,true
1005,-0.2331344767620689,-0.12417885504270855,38,38,true
1006,0.06684477705704539,0.8542420581767434,2,28,false
1007,0.3470762748467295,-0.04528185882066425,38,38,true
1008,0,-0.7359286734932348,0,38,false
1009,-0.07242143781561601,-0.019498872129540695,38,38,true
