viewRadius,seed,diffMean,diffSlope,actionDivergentSteps,actionPostFreezeSteps,observationDivergentSteps,observationPostFreezeSteps
2,1001,-0.09358823299407959,0.0018463909319472633,22,38,24,38
2,1002,0.003594059693185907,-0.0004700184233640734,22,38,3,38
2,1003,0,0,23,38,0,38
4,1001,-0.013825112267544395,-0.00036452485456131697,22,38,26,38
4,1002,-0.18209447358783923,-0.020571850702477988,17,38,22,38
4,1003,0.41622905982168096,0.010474437278891982,23,38,11,38
8,1001,-0.030834197998046875,-0.0006979136618812361,22,38,26,38
8,1002,-0.1901772743777225,-0.018322521793149683,17,38,24,38
8,1003,-0.0993121768298902,-0.01201966746994254,21,38,35,38
