viewRadius,seed,condition,postFreezeSteps,meanLoss,slopeLoss
2,1001,control,38,1.9378947050947892,0.0061496995003847725
2,1001,intervention,38,1.8443064721007096,0.007996090432332032
2,1002,control,38,3.198808927285044,0.07035753632781411
2,1002,intervention,38,3.2024029869782296,0.06988751790445002
2,1003,control,38,1.7789287347542613,-0.0014247969551098951
2,1003,intervention,38,1.7789287347542613,-0.0014247969551098951
4,1001,control,38,1.6098622648339522,-0.0031162753304997946
4,1001,intervention,38,1.5960371525664079,-0.0034808001850611114
4,1002,control,38,4.747893446370175,0.11163109433326174
4,1002,intervention,38,4.565798972782336,0.09105924363078374
4,1003,control,38,2.4900437405234888,-0.05935152942182877
4,1003,intervention,38,2.9062728003451697,-0.0488770921429368
8,1001,control,38,2.02172663337306,-0.005188760252381874
8,1001,intervention,38,1.9908924353750128,-0.005886673914263109
8,1002,control,38,2.7570840904587195,0.06198455965457644
8,1002,intervention,38,2.566906816080997,0.043662037861426764
8,1003,control,38,1.8581908564818532,0.015464074998549425
8,1003,intervention,38,1.758878679651963,0.0034444075286068827
